,usageKey,acceptedUsageKey,scientificName,canonicalName,verbatim_name,rank,status,confidence,matchType,kingdom,phylum,class,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,verbatim_index
1440,2442680,NA,"Apalone spinifera (Lesueur, 1827)",Apalone spinifera,Apalone spinifera,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Testudines,NA,Trionychidae,Apalone,Apalone spinifera,1,44,11418114,NA,5469,2442664,2442680,FALSE,1440
1441,2433727,NA,"Lontra canadensis (Schreber, 1777)",Lontra canadensis,Lontra canadensis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lontra,Lontra canadensis,1,44,359,732,5307,2433726,2433727,FALSE,1441
1442,2428151,NA,"Pseudacris sierra (Jameson, Mackey & Richmond, 1966)",Pseudacris sierra,Pseudacris sierra,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris sierra,1,44,131,952,6735,2428124,2428151,FALSE,1442
1443,2923947,NA,Cephalanthus occidentalis L.,Cephalanthus occidentalis,Cephalanthus occidentalis,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Cephalanthus,Cephalanthus occidentalis,6,7707728,220,412,8798,2923932,2923947,FALSE,1443
263,2410903,NA,"Thaleichthys pacificus (Richardson, 1836)",Thaleichthys pacificus,Thaleichthys pacificus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,1,44,NA,1068,8480,2410902,2410903,FALSE,263
1445,2431951,NA,"Ambystoma maculatum (Shaw, 1802)",Ambystoma maculatum,Ambystoma maculatum,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma maculatum,1,44,131,953,3101,2431549,2431951,FALSE,1445
1446,2422872,NA,"Anaxyrus americanus (Holbrook, 1836)",Anaxyrus americanus,Anaxyrus americanus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus americanus,1,44,131,952,6727,2422857,2422872,FALSE,1446
1447,2432014,NA,"Ambystoma laterale Hallowell, 1856",Ambystoma laterale,Ambystoma laterale,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma laterale,1,44,131,953,3101,2431549,2432014,FALSE,1447
1448,2431199,NA,"Desmognathus ochrophaeus Cope, 1859",Desmognathus ochrophaeus,Desmognathus ochrophaeus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,Desmognathus ochrophaeus,1,44,131,953,6748,2431198,2431199,FALSE,1448
1449,10806364,NA,"Dryophytes versicolor (LeConte, 1825)",Dryophytes versicolor,Dryophytes versicolor,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,Dryophytes versicolor,1,44,131,952,6735,4816258,10806364,FALSE,1449
